Skill / pot,#,Player,Age,Team,ETV
89.6,,Cristhian MosqueraD (C),,,
76.8,69,England,23,Newcastle,€53.4M
85.2,,Tino LivramentoD (RL),,,
80.7,70,England,25,Man City,€52.7M
84.1,,Marc GuéhiD (CL),,,
82,71,France,26,A. Villa,€51.8M
83.4,,"Boubacar KamaraDM, M (C)",,,
72.7,72,Uruguay,24,Man Utd,€51.7M
76.7,,"Manuel UgarteDM, M (C)",,,
75,73,Italy,23,Tottenham,€51.7M
83.6,,Destiny Udogie D (L),,,
74.3,74,Spain,26,Tottenham,€51.3M
77.6,,Pedro Porro D (R),,,
72.6,75,Brazil,25,Wolves,€51M
76.5,,João GomesM (C),,,
,76,Italy,23,Arsenal,€50.7M
79,,Riccardo CalafioriD (L),,,
85.7,,,,,
79.9,77,England,25,Newcastle,€50.7M
84.6,,Anthony GordonF (CL),,,
72,78,Brazil,21,Chelsea,€50.1M
82.7,,"Andrey SantosM, DM (C)",,,
72.3,79,France,20,Tottenham,€49.7M
84.1,,"Mathys TelF (C), M (L)",,,
56.5,80,England,20,Everton,€49.7M
80.4,,"Tyler DiblingF, M (R)",,,
76.7,81,Cote d'Ivoire,23,Man Utd,€49.5M
80.5,,"Amad DialloF, M (R)",,,
81.3,82,Egypt,33,Liverpool,€49.1M
81.3,,"Mohamed SalahF, M (R)",,,
77.4,83,England,25,Liverpool,€49M
82.1,,"Curtis JonesM, DM (C)",,,
84.9,84,Brazil,24,Arsenal,€48.8M
91.1,,"Gabriel MartinelliF, AM (L)",,,
76.6,85,England,26,Chelsea,€48.8M
78.3,,"Reece JamesD (R), DM (C)",,,
68.8,86,England,23,Chelsea,€48.4M
75.4,,"Liam DelapF (C), AM (R)",,,
73.9,87,Switzerland,25,N. Forest,€48.3M
78.2,,"Dan NdoyeF (R), M (RL)",,,
70.5,88,Belgium,24,A. Villa,€48.2M
76.6,,"Amadou OnanaDM, M (C)",,,
77.4,89,Germany,24,Brentford,€48M
84.5,,"Kevin SchadeF, M (L)",,,
70.6,90,Algeria,24,Man City,€47.9M
74.2,,"Rayan Aït-NouriD, M (L)",,,
78.2,91,England,23,N. Forest,€47.7M
86.3,,"Elliot AndersonM, DM (C)",,,
71.1,92,Norway,26,C. Palace,€47.2M
73.7,,Jørgen Strand LarsenF (C),,,
75.9,93,Sweden,23,Newcastle,€47M
81.9,,"Anthony ElangaF, M (R)",,,
78.8,94,Portugal,27,Man City,€46.6M
78.8,,Matheus NunesD (R),,,
81.8,95,England,29,Tottenham,€46.1M
81.8,,"James Maddison  M, AM (C)",,,
77.3,96,England,26,Chelsea,€46M
79.7,,Trevoh ChalobahD (C),,,
75,97,England,20,Man City,€45.7M
84.7,,Nico O'ReillyD (L),,,
76.9,98,Spain,23,C. Palace,€45.7M
87.9,,"Yéremy PinoF (R), M (RL)",,,
74,99,Netherlands,26,Man Utd,€45.3M
78.5,,Matthijs de LigtD (CR),,,
76.3,100,Wales,24,C. Palace,€45.2M
82.4,,"Brennan JohnsonF, M (R)",,,
70.3,101,Belgium,22,Chelsea,€44.9M
79.1,,"Roméo LaviaDM, M (C)",,,
76.5,102,England,28,Tottenham,€44.8M
76.5,,Dominic SolankeF (C),,,
71,103,Uzbekistan,22,Man City,€44.6M
80.5,,Abdukodir KhusanovD (C),,,
69.9,104,Senegal,23,Tottenham,€44.5M
78.4,,"Pape Matar SarrM, DM (C)",,,
76.5,105,England,24,Newcastle,€44.3M
82.4,,Jacob RamseyM (CL),,,
70.6,106,France,25,B'mouth,€44.1M
77.6,,Bafodé DiakitéD (C),,,
76.8,107,England,26,Tottenham,€43.6M
81.2,,Conor GallagherM (CL),,,
71.5,108,Senegal,22,Sunderland,€43.5M
81.3,,Habib DiarraM (C),,,
72.2,109,England,25,Tottenham,€43.3M
77.4,,Djed SpenceD (RL),,,
68.6,110,France,23,N. Forest,€43.2M
75.2,,"Dilane BakwaF, M (R), AM (L)",,,
78.5,111,Italy,27,Man City,€42.9M
86,,Gianluigi DonnarummaGK,,,
81.3,112,England,28,Newcastle,€42.8M
81.3,,Harvey BarnesF (L),,,
71.4,113,Senegal,28,C. Palace,€42.8M
72.5,,"Ismaïla SarrF, M (R)",,,
74.2,114,England,29,West Ham,€42.6M
74.2,,"Jarrod Bowen F, M (R)",,,
80.7,115,Portugal,31,Man Utd,€42.5M
80.7,,"Bruno FernandesAM, M, DM (C)",,,
71.2,116,Netherlands,26,Newcastle,€42.5M
75.3,,Sven BotmanD (C),,,
