Skill / pot,#,Player,Age,Team,ETV
67.6,,Chadi RiadD (CL),,,
68.6,304,Italy,22,N. Forest,€16.8M
75.6,,Nicolò SavonaD (R),,,
69.2,305,Sweden,26,Leeds Utd,€16.7M
69.2,,"Gabriel GudmundssonD, M (L)",,,
71.8,306,Jamaica,28,A. Villa,€16.7M
71.8,,"Leon BaileyF, M, AM (R)",,,
69.2,307,England,28,Leeds Utd,€16.7M
69.2,,James JustinD (R),,,
74.8,308,Brazil,33,Liverpool,€16.6M
74.8,,AlissonGK,,,
70.8,309,Netherlands,30,Fulham,€16.3M
70.8,,Kenny TeteD (R),,,
58.5,310,England,19,Man Utd,€16.3M
75.5,,Ayden HeavenD (CL),,,
68.1,311,England,28,A. Villa,€16.3M
68.8,,Tammy AbrahamF (C),,,
67.4,312,Netherlands,26,Leeds Utd,€16.2M
69.1,,"Joël PiroeF, AM (C)",,,
65,313,Albania,24,Burnley,€16.2M
68.3,,Armando BrojaF (C),,,
66.6,314,Wales,28,Leeds Utd,€16.2M
66.6,,Daniel JamesM (R),,,
69.5,315,Portugal,23,Brentford,€16.1M
76.3,,"Fábio CarvalhoAM, M, F (C)",,,
58.5,316,England,19,Fulham,€16.1M
75.8,,"Josh KingAM, M (C)",,,
71.6,317,Netherlands,26,Brighton,€16M
73.5,,"Mats WiefferDM, M (C), D (R)",,,
72,318,England,26,Newcastle,€15.9M
73.6,,Joe WillockM (C),,,
68.7,319,Brazil,28,Brighton,€15.3M
69.1,,Igor JulioD (CL),,,
63.3,320,England,26,Brentford,€15.3M
65.3,,"Reiss NelsonF (L), M (RL)",,,
68.9,321,Portugal,27,Wolves,€15.2M
69.7,,TotiD (CL),,,
74.3,322,Paraguay,29,Sunderland,€15.2M
74.5,,Omar AldereteD (C),,,
68.6,323,Argentina,29,A. Villa,€15.1M
68.6,,Emiliano BuendíaM (CL),,,
78.5,324,Switzerland,33,Sunderland,€14.8M
78.5,,"Granit XhakaDM, M (C)",,,
51.3,325,Morocco,19,Everton,€14.6M
70.1,,Adam AznouD (L),,,
71.1,326,England,28,Liverpool,€14.6M
71.1,,Joe GomezD (CRL),,,
71.4,327,England,25,Leeds Utd,€14.4M
74.1,,"Jayden BogleD, M (R)",,,
63.5,328,England,28,West Ham,€14.4M
63.9,,"Kyle Walker-PetersD, M (R)",,,
69.6,329,England,28,N. Forest,€14.3M
69.8,,"Ryan Yates M, DM (C)",,,
66.5,330,England,22,Burnley,€14.3M
73.3,,Bashir HumphreysD (CL),,,
71.8,331,Serbia,29,Fulham,€14.3M
71.8,,"Saša Luki?M, DM (C)",,,
64,332,Nigeria,28,N. Forest,€14.3M
64,,Taiwo Awoniyi F (C),,,
48.2,333,Spain,20,Chelsea,€14.2M
62.1,,Marc GuiuF (C),,,
72.8,334,Belgium,30,Fulham,€14.1M
72.8,,Timothy CastagneD (R),,,
69.3,335,Wales,28,B'mouth,€14.1M
69.3,,"David BrooksF, M (R)",,,
67.4,336,Spain,23,Wolves,€14M
73.1,,"Hugo BuenoD, M (L)",,,
62.6,337,Spain,21,Liverpool,€14M
69.7,,"Stefan BajceticDM, M (C)",,,
67.6,338,Belgium,23,Man Utd,€13.9M
71.7,,Senne LammensGK,,,
72.5,339,Wales,28,Leeds Utd,€13.8M
73,,Joe RodonD (C),,,
67.8,340,Northern Ireland,26,Sunderland,€13.7M
69.7,,Dan BallardD (C),,,
72.6,341,Czech Republic,31,West Ham,€13.6M
72.6,,"Tomáš Sou?ekDM, M (C)",,,
71.8,342,England,28,Brentford,€13.6M
71.8,,Rico HenryD (L),,,
66.8,343,England,31,Man City,€13.5M
68.1,,John Stones D (CR),,,
70.9,344,Uruguay,27,Wolves,€13.5M
70.9,,Santiago BuenoD (C),,,
71.7,345,Colombia,24,Wolves,€13.5M
71.8,,Yerson MosqueraD (CR),,,
60.8,346,Scotland,24,Everton,€13.4M
63.4,,Nathan PattersonD (R),,,
71.4,347,France,26,Leeds Utd,€13.4M
77.3,,Illan MeslierGK,,,
75,348,Nigeria,26,Fulham,€13.3M
75.8,,"Samuel ChukwuezeF, M (R)",,,
73.9,349,Croatia,31,Man City,€13.2M
75.1,,"Mateo Kovacic M, DM (C)",,,
74.8,350,France,28,Sunderland,€13.2M
75.6,,Nordi MukieleD (CR),,,
61.7,351,England,20,West Ham,€13.2M
74.3,,"Oliver ScarlesD, M (L)",,,
70.6,352,Japan,27,Leeds Utd,€13.1M
70.9,,"Ao TanakaM, DM (C)",,,
75.3,353,England,30,Man Utd,€13.1M
75.3,,Luke ShawD (CL),,,
76.2,354,England,31,Newcastle,€13M
76.2,,Jacob MurphyF (R),,,
67.4,355,France,29,Fulham,€12.9M
67.4,,Issa DiopD (C),,,
66.2,356,England,27,Burnley,€12.9M
66.2,,"Marcus EdwardsF, M (R)",,,
74.8,357,Scotland,32,Liverpool,€12.8M
74.8,,Andrew RobertsonD (L),,,
61,358,Germany,23,Everton,€12.7M
66.1,,"Merlin RöhlAM, M (C)",,,
59.9,359,Netherlands,22,A. Villa,€12.5M
68.8,,"Lamare BogardeDM, M (C), D (R)",,,
74.4,360,Denmark,30,Brentford,€12.5M
74.4,,Mathias JensenM (C),,,
61.5,361,England,22,Everton,€12.5M
68.7,,"Tim IroegbunamM, DM (C)",,,
62.4,362,Switzerland,25,Burnley,€12.2M
65.6,,"Zeki AmdouniF, AM (C)",,,
73,363,France,32,A. Villa,€12.2M
73,,Lucas DigneD (L),,,
68.4,364,Korea South,30,Wolves,€12.1M
68.4,,Hee-chan HwangF (C),,,
68,365,England,33,Man Utd,€12M
68,,Harry MaguireD (C),,,
70.6,366,Bulgaria,25,Leeds Utd,€11.8M
72.1,,"Ilia GruevDM, M (C)",,,
60.8,367,Northern Ireland,22,C. Palace,€11.5M
69.8,,"Justin DevennyAM (C), M (CL)",,,
57.8,368,United States,21,Chelsea,€11.4M
74.3,,"Caleb WileyD, M (L)",,,
66.4,369,South Africa,25,Burnley,€11.3M
69.5,,Lyle FosterF (C),,,
62.7,370,Netherlands,27,Burnley,€10.9M
62.7,,"Zian FlemmingF, AM (C)",,,
70.7,371,Scotland,31,B'mouth,€10.9M
70.7,,"Ryan ChristieM, DM (C)",,,
75.3,372,England,33,Everton,€10.3M
75.3,,James TarkowskiD (C),,,
72.7,373,Japan,29,C. Palace,€10.3M
72.7,,"Daichi KamadaAM, M (C)",,,
63.9,374,England,29,Wolves,€10.1M
63.9,,Adam ArmstrongF (C),,,
57.9,375,England,22,Sunderland,€9.9M
64.9,,"Romaine MundleF, M (L)",,,
59.3,376,Brazil,19,A. Villa,€9.8M
75.9,,"AlyssonF, M (R)",,,
61.3,377,Turkey,28,B'mouth,€9.8M
61.3,,Enes ÜnalF (C),,,
71.8,378,Germany,34,Fulham,€9.8M
71.8,,Bernd LenoGK,,,
60.9,379,Turkey,27,Man Utd,€9.7M
61.6,,Altay Bay?nd?rGK,,,
63,380,Argentina,21,B'mouth,€9.6M
73.3,,Julio SolerD (L),,,
46.3,381,England,19,Brentford,€9.6M
60.2,,Romelle DonovanF (R),,,
44.7,382,Sweden,18,Fulham,€9.4M
60.6,,Jonah Kusi-AsareF (C),,,
68,383,Denmark,32,Arsenal,€9.4M
68,,"Christian NørgaardDM, M (C)",,,
49.4,384,England,18,Liverpool,€9.1M
66.2,,"Trey NyoniM, DM (C)",,,
64.2,385,Greece,24,B'mouth,€8.8M
68.9,,Christos MandasGK,,,
71,386,England,30,C. Palace,€8.7M
71,,"Will HughesM, DM (C)",,,
63.5,387,England,23,Sunderland,€8.7M
68.2,,Dennis CirkinD (L),,,
76.6,388,Netherlands,34,Liverpool,€8.6M
76.6,,Virgil van DijkD (C),,,
70.9,389,Brazil,30,N. Forest,€8.4M
70.9,,John Victor GK,,,
55.9,390,Hungary,20,B'mouth,€8.3M
71.9,,"Alex TóthM, DM (C)",,,
59.8,391,England,24,B'mouth,€8.1M
63.8,,James HillD (CR),,,
51.5,392,Denmark,18,Man Utd,€8M
74.1,,Chido ObiF (C),,,
62.2,393,England,31,Burnley,€7.8M
63.3,,"James Ward-ProwseM, DM (C)",,,
66.1,394,Brazil,24,Burnley,€7.8M
69.1,,Lucas PiresD (L),,,
48.5,395,Brazil,19,Wolves,€7.6M
64.2,,Pedro LimaD (R),,,
75,396,England,33,Newcastle,€7.5M
76.5,,Dan BurnD (CL),,,
54.3,397,Germany,21,Burnley,€7.5M
66.9,,Max WeißGK,,,
65.5,398,France,33,West Ham,€7.4M
65.5,,Alphonse AreolaGK,,,
71.5,399,England,33,Newcastle,€7.3M
72.9,,Nick PopeGK,,,
65,400,England,22,West Ham,€7.3M
74.1,,"Freddie PottsDM, M (C)",,,
