player_name,normalized_name,club_name,normalized_club,age,position,position_group,league_name,current_value_gbp,peak_value_gbp,trajectory
Joe Rodon,joe rodon,,,0,,,Premier League,11868000.0,11868000.0,
Dan Ballard,dan ballard,,,0,,,Premier League,11782000.0,11782000.0,
Rico Henry,rico henry,,,0,,,Premier League,11696000.0,11696000.0,
Tomáš Sou?ek,tomáš sou?ek,,,0,,,Premier League,11696000.0,11696000.0,
John Stones,john stones,,,0,,,Premier League,11610000.0,11610000.0,
Santiago Bueno,santiago bueno,,,0,,,Premier League,11610000.0,11610000.0,
Yerson Mosquera,yerson mosquera,,,0,,,Premier League,11610000.0,11610000.0,
Illan Meslier,illan meslier,,,0,,,Premier League,11524000.0,11524000.0,
Nathan Patterson,nathan patterson,,,0,,,Premier League,11524000.0,11524000.0,
Samuel Chukwueze,samuel chukwueze,,,0,,,Premier League,11438000.0,11438000.0,
Mateo Kovacic,mateo kovacic,,,0,,,Premier League,11352000.0,11352000.0,
Nordi Mukiele,nordi mukiele,,,0,,,Premier League,11352000.0,11352000.0,
Oliver Scarles,oliver scarles,,,0,,,Premier League,11352000.0,11352000.0,
Ao Tanaka,ao tanaka,,,0,,,Premier League,11266000.0,11266000.0,
Luke Shaw,luke shaw,,,0,,,Premier League,11266000.0,11266000.0,
Jacob Murphy,jacob murphy,,,0,,,Premier League,11180000.0,11180000.0,
Issa Diop,issa diop,,,0,,,Premier League,11094000.0,11094000.0,
Marcus Edwards,marcus edwards,,,0,,,Premier League,11094000.0,11094000.0,
Andrew Robertson,andrew robertson,,,0,,,Premier League,11008000.0,11008000.0,
Merlin Röhl,merlin röhl,,,0,,,Premier League,10922000.0,10922000.0,
Lamare Bogarde,lamare bogarde,,,0,,,Premier League,10750000.0,10750000.0,
Mathias Jensen,mathias jensen,,,0,,,Premier League,10750000.0,10750000.0,
Tim Iroegbunam,tim iroegbunam,,,0,,,Premier League,10750000.0,10750000.0,
Lucas Digne,lucas digne,,,0,,,Premier League,10492000.0,10492000.0,
Zeki Amdouni,zeki amdouni,,,0,,,Premier League,10492000.0,10492000.0,
Hee-chan Hwang,hee-chan hwang,,,0,,,Premier League,10406000.0,10406000.0,
Harry Maguire,harry maguire,,,0,,,Premier League,10320000.0,10320000.0,
Ilia Gruev,ilia gruev,,,0,,,Premier League,10148000.0,10148000.0,
Justin Devenny,justin devenny,,,0,,,Premier League,9890000.0,9890000.0,
Caleb Wiley,caleb wiley,,,0,,,Premier League,9804000.0,9804000.0,
Lyle Foster,lyle foster,,,0,,,Premier League,9718000.0,9718000.0,
Ryan Christie,ryan christie,,,0,,,Premier League,9374000.0,9374000.0,
Zian Flemming,zian flemming,,,0,,,Premier League,9374000.0,9374000.0,
Daichi Kamada,daichi kamada,,,0,,,Premier League,8858000.0,8858000.0,
James Tarkowski,james tarkowski,,,0,,,Premier League,8858000.0,8858000.0,
Adam Armstrong,adam armstrong,,,0,,,Premier League,8686000.0,8686000.0,
Romaine Mundle,romaine mundle,,,0,,,Premier League,8514000.0,8514000.0,
Alysson,alysson,,,0,,,Premier League,8428000.0,8428000.0,
Bernd Leno,bernd leno,,,0,,,Premier League,8428000.0,8428000.0,
Enes Ünal,enes ünal,,,0,,,Premier League,8428000.0,8428000.0,
Altay Bay?nd?r,altay bay?nd?r,,,0,,,Premier League,8342000.0,8342000.0,
Julio Soler,julio soler,,,0,,,Premier League,8256000.0,8256000.0,
Romelle Donovan,romelle donovan,,,0,,,Premier League,8256000.0,8256000.0,
Christian Nørgaard,christian nørgaard,,,0,,,Premier League,8084000.0,8084000.0,
Jonah Kusi-Asare,jonah kusi-asare,,,0,,,Premier League,8084000.0,8084000.0,
Trey Nyoni,trey nyoni,,,0,,,Premier League,7826000.0,7826000.0,
Christos Mandas,christos mandas,,,0,,,Premier League,7568000.0,7568000.0,
Dennis Cirkin,dennis cirkin,,,0,,,Premier League,7482000.0,7482000.0,
Will Hughes,will hughes,,,0,,,Premier League,7482000.0,7482000.0,
Virgil van Dijk,virgil van dijk,,,0,,,Premier League,7396000.0,7396000.0,
John Victor,john victor,,,0,,,Premier League,7224000.0,7224000.0,
Alex Tóth,alex tóth,,,0,,,Premier League,7138000.0,7138000.0,
James Hill,james hill,,,0,,,Premier League,6966000.0,6966000.0,
Chido Obi,chido obi,,,0,,,Premier League,6880000.0,6880000.0,
James Ward-Prowse,james ward-prowse,,,0,,,Premier League,6708000.0,6708000.0,
Lucas Pires,lucas pires,,,0,,,Premier League,6708000.0,6708000.0,
Pedro Lima,pedro lima,,,0,,,Premier League,6536000.0,6536000.0,
Dan Burn,dan burn,,,0,,,Premier League,6450000.0,6450000.0,
Max Weiß,max weiß,,,0,,,Premier League,6450000.0,6450000.0,
Alphonse Areola,alphonse areola,,,0,,,Premier League,6364000.0,6364000.0,
Freddie Potts,freddie potts,,,0,,,Premier League,6278000.0,6278000.0,
Nick Pope,nick pope,,,0,,,Premier League,6278000.0,6278000.0,
