player_name,club_name,position_name,minutes,total_points,points_per_game,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,yellow_cards,red_cards,bonus
Lucas Bergvall,Spurs,MID,799,39,2.3,1,2,3,13,0,68,2,0,0
Evann Guessand,Crystal Palace,MID,790,39,2.2,1,3,1,15,0,77,0,0,0
Marshall Munetsi,Wolves,MID,872,38,2.9,1,2,0,19,0,80,2,0,1
Lewis Cook,Bournemouth,MID,870,38,2.4,0,1,1,18,0,143,1,1,0
Loum Tchaouna,Burnley,MID,843,38,1.7,1,1,2,14,0,48,1,0,0
Omar Marmoush,Man City,MID,507,37,2.3,1,2,3,4,0,30,1,0,4
Jacob Bruun Larsen,Burnley,MID,961,36,1.6,0,1,3,26,0,61,0,0,0
Nicolás Dominguez,Nott'm Forest,MID,886,36,2.0,1,0,3,18,0,97,2,0,3
Brajan Gruda,Brighton,MID,708,35,1.9,1,1,2,11,0,58,2,0,2
Freddie Potts,West Ham,MID,1094,34,1.8,0,1,1,23,0,112,1,0,0
Jean-Ricner Bellegarde,Wolves,MID,1006,34,1.6,1,0,3,24,0,86,4,0,0
Jacob J.Ramsey,Newcastle,MID,894,34,1.8,2,1,0,22,0,93,3,1,1
Simon Adingra,Sunderland,MID,649,34,2.4,1,1,4,8,0,45,2,0,3
Pascal Groß,Brighton,MID,826,33,3.3,1,1,2,7,0,73,2,0,4
Federico Chiesa,Liverpool,MID,263,33,1.6,2,1,0,7,0,27,2,0,0
Manuel Ugarte,Man Utd,MID,777,32,1.7,0,0,1,21,0,127,1,0,0
Andrey Andrey Santos,Chelsea,MID,964,31,1.4,0,0,1,12,0,104,4,0,0
Bertrand Traoré,Sunderland,MID,634,30,2.5,1,1,3,9,0,40,1,0,1
Justin Devenny,Crystal Palace,MID,593,29,1.6,1,0,1,10,0,48,0,0,0
James Milner,Brighton,MID,549,29,1.7,1,1,1,13,0,56,2,0,0
Douglas Luiz Douglas Luiz,Aston Villa,MID,770,28,2.0,1,1,1,13,0,89,2,0,0
Ryan Christie,Bournemouth,MID,579,28,1.5,1,1,1,10,0,71,2,0,0
Tom Cairney,Fulham,MID,533,28,1.5,1,0,1,9,0,43,3,0,1
Oscar Bobb,Fulham,MID,637,27,1.9,0,2,2,9,0,48,1,0,0
Sávio Savinho,Man City,MID,561,27,1.6,0,2,2,5,0,46,2,0,0
Rayan Vitor Rayan,Bournemouth,MID,451,27,4.5,2,1,2,3,0,27,1,0,2
Jadon Sancho,Aston Villa,MID,686,26,1.4,0,1,1,5,0,36,0,0,0
Carlos Alcaraz,Everton,MID,667,26,1.6,0,1,3,8,0,64,3,0,0
Jamie Gittens,Chelsea,MID,486,25,1.6,0,2,1,7,0,29,0,0,0
Wilfried Gnonto,Leeds,MID,377,22,1.4,0,2,1,11,0,41,3,0,0
Joe Willock,Newcastle,MID,592,21,1.2,0,0,2,12,0,63,3,0,0
Adama Adama,West Ham,MID,288,21,1.1,0,0,0,10,0,14,1,0,0
Ross Barkley,Aston Villa,MID,243,20,1.7,1,1,0,3,0,28,0,0,0
Conor Gallagher,Spurs,MID,577,19,2.4,0,1,0,16,0,59,0,0,0
James Ward-Prowse,Burnley,MID,561,19,2.1,0,1,1,15,0,37,0,0,0
Harrison Armstrong,Everton,MID,491,18,1.8,0,0,1,8,0,50,0,0,0
Ryan Yates,Nott'm Forest,MID,368,18,1.3,0,1,0,5,0,36,1,0,0
Tyler Dibling,Everton,MID,349,18,1.3,0,0,2,2,0,40,2,0,0
Daniel James,Leeds,MID,398,17,1.2,0,0,1,13,0,22,0,0,0
Chris Rigg,Sunderland,MID,376,16,1.5,0,0,2,2,0,28,0,0,0
Merlin Röhl,Everton,MID,353,16,1.6,0,0,2,4,0,43,0,0,0
Rio Ngumoha,Liverpool,MID,128,16,1.5,1,0,0,5,0,8,0,0,0
Romaine Mundle,Sunderland,MID,399,14,1.0,0,0,0,11,0,33,1,0,0
Dilane Bakwa,Nott'm Forest,MID,342,14,1.4,0,1,0,8,0,26,1,0,0
Yves Bissouma,Spurs,MID,460,13,1.6,0,0,0,15,0,67,3,0,0
Matt O'Riley,Brighton,MID,185,13,4.3,1,0,1,2,0,9,0,0,2
Fábio Carvalho,Brentford,MID,100,13,2.2,1,0,0,4,0,8,0,0,1
Jack Harrison,Leeds,MID,262,12,1.1,0,0,0,5,0,24,0,0,0
Fer Fer López,Wolves,MID,228,12,1.3,0,1,0,9,0,12,1,0,0
Endo Endo,Liverpool,MID,170,12,1.5,0,1,1,5,0,23,1,0,0
Frank Onyeka,Brentford,MID,88,12,2.0,0,2,0,2,0,10,0,0,0
Harrison Reed,Fulham,MID,23,12,2.4,1,0,0,1,0,2,0,0,2
Leon Bailey,Aston Villa,MID,282,11,1.6,0,1,0,6,0,28,1,0,0
Nilson Angulo,Sunderland,MID,254,9,1.8,0,0,1,4,0,23,0,0,0
Tyrique George,Everton,MID,244,9,1.1,0,0,1,3,0,12,2,0,0
Angel Angel,Wolves,MID,237,9,1.5,0,0,1,4,0,22,0,0,0
Andy Irving,West Ham,MID,156,9,1.3,0,0,0,4,0,22,0,0,0
Guido G.Rodriguez,West Ham,MID,175,8,1.3,0,0,1,2,0,15,1,0,0
Ethan Nwaneri,Arsenal,MID,165,8,1.3,0,0,1,0,0,13,0,0,0
James McAtee,Nott'm Forest,MID,170,7,0.9,0,0,0,8,0,11,1,0,0
Ben Gannon-Doak,Bournemouth,MID,53,7,1.8,0,1,0,1,0,3,0,0,0
Roméo Lavia,Chelsea,MID,135,6,1.0,0,0,0,3,0,13,0,0,0
Christian Nørgaard,Arsenal,MID,56,6,1.0,0,0,0,1,0,11,0,0,0
Reiss Nelson,Brentford,MID,50,6,1.0,0,0,0,1,0,17,0,0,0
Tom Edozie,Wolves,MID,6,6,6.0,1,0,0,0,0,0,0,0,0
Luis Guilherme L.Guilherme,West Ham,MID,121,5,1.0,0,0,0,2,0,11,0,0,0
Harvey Elliott,Aston Villa,MID,110,5,1.0,0,0,0,2,0,6,0,0,0
Tom Watson,Brighton,MID,57,5,0.8,0,0,0,2,0,5,1,0,0
Max Dowman,Arsenal,MID,27,5,2.5,0,1,0,0,0,3,0,0,0
Mohamadou Mohamadou Kanté,West Ham,MID,24,5,0.8,0,0,0,0,0,11,1,0,0
Harry Howell,Brighton,MID,92,4,1.3,0,0,0,2,0,7,0,0,0
Romain Esse,Crystal Palace,MID,40,4,1.0,0,0,0,0,0,5,0,0,0
Romelle Donovan,Brentford,MID,38,4,1.0,0,0,0,0,0,5,0,0,0
Mike Trésor,Burnley,MID,19,4,1.0,0,0,0,1,0,2,0,0,0
Hamed H.Traorè,Bournemouth,MID,16,4,4.0,0,1,0,2,0,4,0,0,0
Jack J.Fletcher,Man Utd,MID,107,3,1.0,0,0,0,0,0,11,0,0,0
Alex Tóth.A,Bournemouth,MID,71,3,0.8,0,0,0,1,0,8,1,0,0
Alysson Edward Franco Alysson,Aston Villa,MID,47,3,1.0,0,0,0,2,0,4,0,0,0
Dan Neil,Sunderland,MID,13,3,1.0,0,0,0,0,0,2,0,0,0
Trey Nyoni,Liverpool,MID,6,3,1.0,0,0,0,0,0,2,0,0,0
Facundo Buonanotte,Leeds,MID,69,2,0.7,0,0,0,2,0,5,1,0,0
George George Hemmings,Aston Villa,MID,25,2,1.0,0,0,0,0,0,1,0,0,0
Tawanda Chirewa,Wolves,MID,25,2,1.0,0,0,0,0,0,4,0,0,0
Divine Mukasa,Man City,MID,25,2,1.0,0,0,0,0,0,1,0,0,0
Shea Lacey,Man Utd,MID,12,2,1.0,0,0,0,0,0,1,0,0,0
Joél Drakes-Thomas,Crystal Palace,MID,7,2,1.0,0,0,0,1,0,3,0,0,0
Antoni Milambo,Brentford,MID,45,1,1.0,0,0,0,3,0,4,0,0,0
Djiamgone Jocelin Ta Jocelin.T,Sunderland,MID,38,1,1.0,0,0,0,0,0,3,0,0,0
Patrick Roberts,Sunderland,MID,27,1,1.0,0,0,0,1,0,1,0,0,0
Bradley Burrowes,Aston Villa,MID,16,1,1.0,0,0,0,1,0,1,0,0,0
Bendito Bendito Mantato,Man Utd,MID,15,1,1.0,0,0,0,0,0,0,0,0,0
João Pedro Jota,Nott'm Forest,MID,11,1,1.0,0,0,0,0,0,3,0,0,0
Jaydon Banel,Burnley,MID,9,1,1.0,0,0,0,0,0,0,0,0,0
George Earthy,West Ham,MID,8,1,1.0,0,0,0,1,0,0,0,0,0
Jamaldeen Jimoh-Aloba,Aston Villa,MID,8,1,1.0,0,0,0,0,0,1,0,0,0
Ben Winterburn,Bournemouth,MID,6,1,1.0,0,0,0,2,0,0,0,0,0
Solly March,Brighton,MID,4,1,1.0,0,0,0,0,0,0,0,0,0
Mateo Kovačić,Man City,MID,4,1,1.0,0,0,0,0,0,0,0,0,0
Kaden Rodney,Crystal Palace,MID,3,1,1.0,0,0,0,0,0,0,0,0,0
Tyler Fletcher,Man Utd,MID,1,1,1.0,0,0,0,0,0,0,0,0,0
Myles Peart-Harris,Brentford,MID,1,1,1.0,0,0,0,0,0,0,0,0,0
Joe Knight,Brighton,MID,1,1,1.0,0,0,0,0,0,0,0,0,0
Nehemiah Oriola,Brighton,MID,1,1,1.0,0,0,0,0,0,0,0,0,0
