player_name,club_name,position_name,minutes,total_points,points_per_game,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,yellow_cards,red_cards,bonus
Jamaal Lascelles,Newcastle,DEF,19,1,0.5,0,0,0,2,0,5,0,0,0
Sam Byram,Leeds,DEF,7,1,1.0,0,0,0,1,0,0,0,0,0
Tyler Fredricson,Man Utd,DEF,2,1,1.0,0,0,0,0,0,2,0,0,0
Jun'ai Byfield,Spurs,DEF,1,1,1.0,0,0,0,0,0,0,0,0,0
Alex A.Murphy,Newcastle,DEF,1,1,1.0,0,0,0,1,0,1,0,0,0
Emil Krafth,Newcastle,DEF,45,0,0.0,0,0,0,2,0,1,0,0,0
Erling Haaland,Man City,FWD,2323,195,7.0,22,7,10,26,0,83,1,0,35
João Pedro João Pedro,Chelsea,FWD,2140,160,5.5,14,9,10,23,0,118,4,0,28
Igor Thiago Thiago,Brentford,FWD,2472,143,4.9,18,1,7,38,0,151,6,0,19
Jarrod Bowen,West Ham,FWD,2599,135,4.7,8,6,5,52,0,214,4,0,21
Hugo Ekitiké,Liverpool,FWD,1764,123,4.7,11,4,7,24,0,82,0,0,22
Dominic Calvert-Lewin,Leeds,FWD,1933,108,4.2,10,2,4,28,0,65,1,0,16
Ollie Watkins,Aston Villa,FWD,2144,100,3.6,8,2,8,29,0,74,2,0,11
Raúl Raúl,Fulham,FWD,1903,97,3.5,8,5,7,25,0,114,5,0,7
Viktor Gyökeres,Arsenal,FWD,1859,94,3.4,10,0,10,11,0,71,4,0,11
Danny Welbeck,Brighton,FWD,1645,92,3.3,10,0,6,21,0,77,4,0,14
Benjamin Šeško,Man Utd,FWD,1295,89,3.7,8,2,1,26,0,53,1,0,17
Francisco Evanilson Evanilson,Bournemouth,FWD,2013,87,3.2,6,3,8,33,0,85,1,0,6
Nick Woltemade,Newcastle,FWD,1530,86,3.4,7,3,6,25,0,79,0,0,10
Jean-Philippe Mateta,Crystal Palace,FWD,1904,84,3.7,8,0,8,23,0,110,2,0,9
Richarlison Richarlison,Spurs,FWD,1346,82,3.4,8,3,5,20,0,102,5,0,10
Thierno Barry,Everton,FWD,1599,74,2.6,6,0,7,22,0,57,3,0,7
Junior Kroupi.Jr,Bournemouth,FWD,1052,72,3.0,8,0,5,18,0,79,3,0,7
Igor Jesus Igor Jesus,Nott'm Forest,FWD,1662,71,2.5,2,4,6,31,0,79,0,0,6
Callum Wilson,West Ham,FWD,992,64,2.7,5,2,1,18,0,34,0,0,7
Lukas Nmecha,Leeds,FWD,753,63,2.7,6,1,2,18,0,38,0,0,8
Brian Brobbey,Sunderland,FWD,1193,62,2.8,5,1,4,17,0,50,3,0,8
Zian Flemming,Burnley,FWD,1005,62,3.1,7,0,2,19,0,55,3,0,6
Jørgen Strand Larsen,Crystal Palace,FWD,1806,61,2.3,4,1,5,31,0,75,4,0,3
Wilson Isidor,Sunderland,FWD,1056,60,2.3,4,1,4,15,0,44,1,0,7
Norberto Bercique Beto,Everton,FWD,1047,58,2.0,4,0,3,14,0,67,2,0,6
Tolu Tolu,Wolves,FWD,1215,54,2.1,2,2,3,25,0,68,1,0,4
Mateus Mané,Wolves,FWD,1235,52,2.7,2,2,5,18,0,94,0,0,6
Lyle Foster,Burnley,FWD,1154,48,2.3,3,1,3,25,0,69,4,0,4
Armando Broja,Burnley,FWD,805,38,2.0,1,1,1,25,0,41,0,0,2
Randal Kolo Muani,Spurs,FWD,1185,37,1.8,1,0,3,25,0,83,2,0,1
Eliezer Mayenda,Sunderland,FWD,737,37,2.2,2,0,3,9,0,26,0,0,5
Joshua Zirkzee,Man Utd,FWD,509,37,2.1,2,1,1,8,0,37,1,0,6
Liam Delap,Chelsea,FWD,727,36,1.8,1,2,2,13,0,26,2,0,1
Dominic Solanke,Spurs,FWD,598,31,3.1,3,0,0,14,0,38,1,0,4
Charalampos Kostoulas,Brighton,FWD,292,30,1.9,2,1,1,7,0,38,2,0,3
